Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Test_MAE,Time
Extra Trees,0.9998665605783441,0.9141767745021907,932.2690639114393,21773.01308201092,15602.780989543477,0.2578890323638916
Voting Regressor,0.9658990737118489,0.909440836379722,14903.294566688664,22365.690904692536,15212.339097679178,0.988070011138916
Gradient Boosting,0.9944813545971547,0.9076173437785049,5995.36243304485,22589.74558540779,15434.100701847965,0.8781812191009521
XGBoost,0.9926226139068604,0.9070503115653992,6931.8765136144775,22658.9644953162,15276.8017578125,0.15858221054077148
Random Forest,0.9839587520782682,0.8992587053582362,10221.58567121307,23589.562211591885,16127.179147237772,0.4020521640777588
Stacking Regressor,0.9620223549018906,0.8983565702822276,15727.627454147945,23694.94869238791,15899.47649614052,4.875753879547119
Bagging Regressor,0.9804839229232136,0.8958390847071561,11274.452462785122,23986.589951060687,16548.30875546622,0.638477087020874
Huber Regressor,0.8946848481299114,0.871274573840453,26190.550481516806,26665.411270046898,18912.21084198066,0.07393884658813477
Ridge,0.9055702663822681,0.8443225827992764,24800.108437242518,29324.385901133013,20988.966363535583,0.011958837509155273
Bayesian Ridge,0.8958255746047777,0.843144870563907,26048.322148400803,29435.097583894905,21272.28874440331,0.015725135803222656
ElasticNet,0.9127533147865243,0.8303132835068596,23838.21131714756,30615.40720376384,21284.550359192835,1.5164711475372314
Linear Regression,0.9131295500005006,0.825073765333431,23786.756843754287,31084.478894325053,21326.15876060009,0.04610109329223633
Lasso,0.9131116716427474,0.8243983274323126,23789.20443249323,31144.433899897045,21370.996475962584,1.526618242263794
Decision Tree,0.9908760015467033,0.7966040813370182,7708.889117963508,33518.70523316901,22877.525019268487,0.023654937744140625
KNN,0.8381669545371987,0.7150671906053708,32466.300269942134,39672.29706687437,27110.07465753425,0.002942800521850586
MLP Regressor,0.8140408938303719,0.6256286426890957,34802.29808721026,45474.446765014174,32534.64308196014,1.2788937091827393
SGD Regressor,-0.13455814360394736,0.39465893943028685,85963.20046730238,57825.072221650626,33853.57618565751,0.0031490325927734375
SVR Linear,0.22478362036170196,0.24856721405776672,71057.62172101217,64426.00280722781,45090.96906815272,0.05866289138793945
Baseline (Mean),0.0,-5.394110614864722e-05,0.0,74323.78700238478,57979.83398341127,0.0
SVR RBF,-0.05214991148956072,-0.0652167883208623,82782.39920033468,76707.02129719158,57063.27592998801,0.06255888938903809
